,MAE,RMSE,R2
Linear Regression,19.181995125790575,28.88884958956868,-3.6449721978025638
Random Forest,5.618380952380953,15.034011440729984,-0.2579760597616201
Gradient Boosting,6.589283244307301,16.474342089519816,-0.5105627925052265
